,gameId,top,jungle,mid,carry,support,count_top,count_jungle,count_mid,count_carry,count_support,champ_WR_dif,B_tier,R_tier
1302,4690392348,1,4,5,5,3,5,2,4,5,6,0.0026599999999999957,1.6,1.8
1303,4690450012,4,2,5,5,6,2,5,1,5,4,0.006740000000000024,2.2,1.6
47,4690640724,3,3,4,5,3,1,3,4,5,6,0.004459999999999997,3.0,3.2
155,4691104866,6,2,3,5,2,3,3,4,5,5,0.02387999999999999,2.2,2.4
1496,4691328385,2,3,4,5,,3,5,2,5,2,-0.09482000000000002,1.8,2.2
112,4691661786,4,6,3,3,6,2,3,5,5,5,0.001540000000000008,4.4,2.2
111,4691818695,3,1,4,5,6,3,2,4,5,3,0.008860000000000002,1.8,1.6
110,4691977209,3,3,4,5,3,3,3,4,5,2,0.027479999999999984,2.0,2.4
1495,4692018081,3,3,4,5,5,1,2,4,5,2,-0.0035599999999999855,1.8,2.6
219,4692209030,6,3,1,5,6,3,3,3,5,6,0.0015399999999999969,2.4,2.4
109,4692545136,3,4,1,5,2,2,4,1,5,5,-0.005659999999999998,2.8,3.4
1474,4692825602,3,3,4,5,2,2,5,1,5,6,-0.012960000000000027,2.2,2.8
999,4693077781,3,1,1,5,6,6,3,4,5,6,0.0021199999999999774,2.2,2.6
907,4693129038,2,5,3,5,6,2,4,3,5,6,-0.02562000000000001,2.4,2.0
1830,4693335889,5,4,4,3,2,2,3,4,5,6,0.01639999999999998,2.8,1.8
1829,4693336737,2,3,4,5,6,3,2,1,3,6,0.008379999999999988,1.4,3.0
825,4693342645,3,3,1,5,6,4,4,3,5,2,-0.012380000000000013,2.6,2.6
1827,4693365276,2,3,4,3,6,2,5,2,5,3,-0.0030400000000000093,3.6,1.0
1826,4693424899,3,3,4,5,4,2,5,4,5,6,0.004559999999999997,2.8,1.8
1828,4693450976,3,3,3,5,6,2,5,,3,6,0.09645999999999999,2.8,2.8
1825,4693459430,3,1,4,5,6,4,3,4,3,6,0.00656000000000001,2.0,3.0
793,4693594815,4,3,1,5,6,3,3,4,5,3,0.03923999999999998,2.2,3.8
154,4693719683,3,3,4,5,6,3,1,4,5,2,0.0029200000000000003,2.2,2.4
1008,4694010356,6,5,4,5,6,3,1,1,5,3,-0.0026800000000000157,3.4,2.0
1494,4694011825,4,5,6,5,4,3,3,1,5,6,-0.0024000000000000132,1.4,2.6
851,4694036247,3,1,4,5,6,3,4,4,5,6,-0.012219999999999986,3.2,3.2
59,4694154631,3,1,3,4,5,1,4,1,5,2,0.002379999999999982,1.8,2.8
58,4694173289,3,1,2,5,6,1,3,1,5,2,-0.001100000000000012,2.4,2.2
1007,4694180768,2,3,3,5,4,6,5,4,5,4,-0.0021599999999999953,2.4,3.6
257,4694275088,3,3,1,5,6,2,3,1,5,2,0.005799999999999983,2.6,2.4
962,4694346042,4,4,3,5,2,3,3,2,5,3,0.006159999999999999,1.6,2.4
1006,4694441392,6,3,2,5,2,2,5,4,5,4,-0.010699999999999987,1.8,2.2
1035,4695388118,3,3,4,5,2,3,4,1,5,6,-0.008340000000000004,2.0,2.4
2105,4695431727,5,3,4,5,2,2,2,1,5,2,-0.005059999999999998,2.4,2.6
1036,4695442297,3,3,1,5,1,3,4,4,5,4,-0.008640000000000037,2.2,1.8
1265,4695477410,2,3,4,5,3,3,1,4,5,6,-0.016200000000000013,3.0,3.4
906,4695572761,6,3,4,5,4,3,3,1,5,3,0.005640000000000011,1.6,3.0
1106,4695687784,3,5,4,5,6,3,5,1,5,6,0.007359999999999978,2.4,2.2
457,4695921608,1,3,1,5,6,4,1,1,5,6,0.010199999999999976,2.2,3.6
1824,4695955019,3,4,2,5,6,5,3,3,5,2,-0.008479999999999988,2.8,1.6
1821,4695969315,3,4,1,5,5,2,1,4,5,6,0.011619999999999986,2.4,3.2
1823,4696020784,1,2,1,5,6,3,3,4,5,6,0.009040000000000003,1.8,2.2
1822,4696024156,1,3,5,5,2,3,3,4,5,6,0.01930000000000002,1.8,2.8
1332,4696068509,2,2,4,5,4,3,5,4,5,2,0.002839999999999987,1.8,1.8
967,4696118813,3,3,1,5,6,3,3,3,4,5,0.02237999999999999,2.2,0.4
1181,4696333233,3,1,3,5,6,3,1,4,5,6,-0.01110000000000001,3.0,2.6
2104,4696750861,5,1,1,5,6,2,3,1,5,3,-0.014979999999999993,2.2,3.0
1331,4696771569,2,1,1,5,2,3,1,3,5,2,-0.017000000000000026,2.4,1.8
1264,4696786465,5,2,3,5,3,3,1,1,5,2,0.0034800000000000165,1.6,2.8
1493,4696971521,2,1,1,5,6,3,3,4,5,2,0.0033399999999999762,2.8,2.6
2103,4696979369,5,4,1,5,5,3,2,4,5,2,-0.013519999999999954,3.0,2.2
296,4697201563,3,3,4,5,2,3,4,3,5,5,0.018399999999999993,2.0,3.4
1186,4697237989,5,3,4,5,2,3,3,3,5,6,0.0016800000000000038,2.8,2.0
780,4697269292,3,3,4,5,4,2,3,4,5,6,-0.018899999999999962,2.6,2.0
2027,4697290724,3,5,4,5,2,3,1,1,5,6,-0.016879999999999985,1.8,3.6
2102,4697296794,4,1,2,5,6,3,1,6,6,,0.09204,2.6,1.0
1737,4697304746,3,5,4,5,4,3,1,5,5,6,0.005359999999999987,2.4,2.8
160,4697368683,3,3,3,5,2,3,3,1,5,6,0.0025000000000000135,2.2,2.4
946,4697599286,2,4,1,5,6,2,1,4,5,4,-0.0005000000000000004,2.4,2.2
1202,4697624932,3,5,1,5,6,3,5,1,5,6,0.005899999999999961,2.0,2.2
2114,4698029589,1,3,3,5,4,3,3,4,5,5,0.003159999999999974,2.4,1.8
1907,4698374929,3,3,4,5,6,1,3,4,5,4,-0.010139999999999972,2.4,3.2
1330,4698509401,3,5,4,5,6,3,4,4,5,2,0.012659999999999994,2.0,3.0
1789,4698518406,2,2,4,5,6,2,4,1,5,3,0.008420000000000006,2.2,2.6
2091,4698722678,3,3,1,5,2,3,1,4,5,6,0.014579999999999982,1.8,1.8
512,4698743541,3,4,5,5,6,3,4,4,5,3,0.014279999999999992,2.4,2.4
898,4698810859,5,1,4,4,6,2,5,4,5,2,-0.00494,2.2,2.2
667,4698832256,3,1,1,5,3,1,1,3,5,2,-0.03802000000000001,3.0,2.2
1125,4698844212,3,3,4,5,2,6,3,1,3,6,0.007319999999999993,2.8,3.0
660,4698881904,2,5,6,5,6,1,3,4,5,3,0.00024000000000000686,2.6,1.6
295,4699126238,3,3,1,5,6,3,2,4,5,6,-0.00766,1.8,2.2
1025,4699153311,3,4,4,5,6,5,4,1,4,2,-0.03275999999999999,1.4,2.4
635,4699254985,5,3,3,5,2,3,4,1,5,4,-0.010480000000000012,2.4,3.2
104,4699400709,3,5,1,5,6,2,2,1,5,2,-0.007500000000000029,2.0,1.4
975,4699470344,2,4,4,5,3,3,3,1,5,6,0.0049200000000000025,2.6,2.2
1124,4699474622,2,3,4,5,6,3,3,4,5,4,-0.003259999999999985,2.4,2.6
316,4699515738,3,2,1,5,6,2,3,4,5,3,-0.016000000000000004,2.8,1.6
1859,4699567187,3,3,4,5,2,3,1,5,5,4,0.0032600000000000072,2.4,3.2
1329,4699571165,1,5,1,5,6,2,5,4,5,6,-0.011520000000000008,1.6,3.0
1328,4699587881,3,2,1,5,6,3,1,6,5,6,0.009200000000000031,1.6,1.8
435,4699589385,3,3,5,5,6,2,3,4,5,1,-0.015500000000000003,2.2,1.8
34,4699770759,2,6,4,5,3,1,3,4,5,2,0.01864000000000001,2.4,3.6
438,4699917936,2,4,5,5,2,2,3,3,5,2,0.012699999999999979,2.2,1.6
665,4700797384,5,3,4,5,3,3,1,1,5,6,-0.012,2.8,1.6
666,4700842688,3,3,6,5,6,3,1,1,5,3,0.019480000000000008,2.4,2.4
2096,4700872317,3,3,1,5,3,3,5,6,5,6,0.00424000000000001,3.2,2.8
1016,4700877296,3,3,1,5,6,5,4,3,4,,0.10066,3.0,2.0
998,4701202272,3,3,1,5,6,4,1,4,5,6,0.024539999999999985,2.2,2.2
2113,4701227311,3,2,4,5,2,3,3,4,5,6,-0.005920000000000014,3.0,2.4
329,4701231951,3,1,5,5,4,2,5,4,5,6,0.005519999999999992,2.4,2.6
680,4701280947,3,3,1,5,6,3,3,3,5,2,0.006299999999999995,2.6,2.2
679,4701318700,3,3,1,5,6,4,3,1,5,3,0.026559999999999983,2.0,3.8
1485,4701363218,3,5,4,5,3,3,4,1,5,4,0.00040000000000002257,2.0,2.6
1,4701374661,3,3,1,5,6,2,3,5,5,6,-0.01596000000000003,3.0,3.4
534,4701407714,3,5,1,5,3,3,3,4,5,1,-0.003680000000000028,3.2,3.4
1161,4701444087,3,3,2,5,4,5,5,4,5,6,-0.007819999999999983,4.0,1.6
678,4701464410,3,4,3,5,6,3,3,1,2,3,0.01818000000000001,1.8,2.2
1015,4701593687,4,3,1,5,2,3,4,4,5,6,-0.006180000000000019,2.4,2.4
1726,4701640628,3,5,4,5,2,3,4,4,5,2,-0.021719999999999996,1.6,2.4
33,4701669189,2,3,4,5,2,3,3,6,5,5,0.023799999999999988,2.8,2.4
32,4702043630,5,3,3,5,6,4,3,4,5,6,-0.010260000000000002,2.0,3.4
42,4702066472,3,1,2,5,6,3,2,4,5,6,-0.0008199999999999985,2.2,2.8
1167,4702080452,4,1,1,5,5,2,3,4,5,6,-0.0024800000000000156,3.0,2.0
197,4702093848,2,5,1,5,6,4,3,2,5,2,0.009659999999999969,1.0,2.2
499,4702114620,3,1,2,5,6,3,2,4,5,2,-0.02030000000000002,2.2,1.8
127,4702126582,4,2,1,5,6,2,1,1,5,3,0.0015200000000000324,2.8,2.2
1678,4702176359,3,4,1,5,6,2,3,5,5,4,0.0029200000000000003,2.6,2.2
126,4702183441,3,3,4,5,6,5,1,1,5,2,0.002880000000000005,2.2,3.2
1592,4702426274,5,3,1,5,3,5,3,4,5,2,-0.01242000000000001,2.8,1.2
1591,4702511048,5,4,3,5,2,3,1,3,5,4,-0.00736,2.6,3.0
31,4702737152,3,1,1,5,4,3,3,3,5,6,-0.008259999999999967,3.8,3.4
196,4702746489,3,4,2,5,,3,5,5,5,3,-0.08442,2.4,2.4
387,4702775002,3,3,4,5,3,3,4,5,5,6,-0.005900000000000005,2.2,2.8
708,4702778076,3,1,5,5,6,3,5,2,5,6,-0.02048000000000001,2.8,2.0
2112,4702843299,3,1,4,5,2,3,1,1,5,3,0.003100000000000003,1.8,2.0
707,4702873787,3,1,4,5,6,3,3,3,5,6,0.0016400000000000193,3.0,2.4
1398,4702880726,3,4,4,5,2,3,1,1,5,4,0.014760000000000006,2.2,2.8
511,4702893562,3,2,4,5,6,2,3,1,5,6,0.011180000000000013,1.8,2.4
664,4702916756,3,4,3,5,2,3,5,2,5,6,-0.004180000000000017,2.4,2.4
452,4702937731,3,5,4,5,2,3,2,5,5,3,0.008359999999999989,1.6,1.2
1203,4703119153,3,1,1,5,6,3,5,6,5,3,0.013040000000000019,2.0,1.8
633,4703119859,3,4,3,5,6,3,1,3,5,5,0.006360000000000021,1.8,2.6
688,4703139014,3,5,1,5,2,3,3,1,5,6,0.0018000000000000017,1.8,2.0
634,4703152022,2,5,4,5,5,3,5,4,3,4,-0.0005400000000000072,1.8,2.4
1014,4703336837,3,3,1,5,6,3,3,4,5,4,0.007440000000000002,2.6,2.2
467,4703344677,3,6,2,5,5,5,1,3,5,6,0.003120000000000023,3.0,2.0
466,4703642182,3,1,4,5,5,6,5,4,5,3,-0.012999999999999966,2.8,1.2
465,4703670551,3,3,1,5,6,3,5,4,5,6,0.0032400000000000094,3.4,2.2
956,4703841165,3,1,4,5,6,3,3,6,5,3,0.029800000000000028,1.8,2.8
2074,4703850962,3,3,4,5,2,2,4,4,5,6,-0.02210000000000003,2.6,4.4
30,4703939386,3,3,4,5,2,3,5,1,5,6,0.0018399999999999638,3.0,2.6
1075,4704010201,3,1,4,5,2,3,3,4,5,6,0.0019000000000000128,2.8,2.4
484,4704073831,1,1,3,4,3,2,3,1,5,4,-0.009379999999999977,3.0,1.8
29,4704078705,1,3,3,5,2,3,5,3,5,6,0.012619999999999998,1.8,3.2
1151,4704150915,3,4,1,5,4,3,3,4,5,6,0.009379999999999989,2.2,1.8
483,4704159671,3,3,4,5,2,3,4,1,5,4,0.005519999999999969,2.4,3.2
482,4704178914,3,2,1,5,6,3,5,3,5,3,0.03268000000000001,1.2,2.6
1739,4704206309,2,1,1,5,2,5,3,4,5,6,0.018940000000000002,3.0,2.8
125,4704208427,3,3,1,5,3,3,1,4,5,4,-0.015439999999999999,2.4,3.0
191,4704255920,3,4,4,5,2,2,5,6,5,4,0.007700000000000007,3.0,1.2
1169,4704298681,3,3,1,5,3,3,5,2,5,6,0.02197999999999999,1.8,2.8
146,4704337657,4,3,3,5,2,3,1,3,5,6,-0.0019799999999999818,2.0,2.4
124,4704346024,3,3,4,,,2,3,,2,,-0.0022399999999999976,1.0,0.6
860,4704592630,1,4,3,4,3,3,1,5,5,2,0.01287999999999998,3.6,2.6
437,4704634065,3,3,3,5,4,1,1,5,5,6,0.025140000000000006,2.8,2.6
659,4704657441,3,5,1,5,3,3,1,4,5,6,0.0020999999999999908,2.4,2.6
108,4704858345,3,4,1,5,2,1,3,4,5,6,0.010680000000000012,3.2,2.0
843,4704865718,2,1,4,5,5,3,3,5,5,4,0.024239999999999994,2.0,3.0
2073,4704955271,1,1,4,5,5,6,3,1,5,2,-0.005519999999999981,2.6,1.8
842,4705262636,3,3,1,5,6,3,3,6,5,4,-0.003399999999999992,2.4,2.2
1444,4705313041,3,1,1,5,3,3,1,3,5,6,-0.016400000000000005,3.0,1.6
1380,4705508200,3,2,4,5,3,3,1,1,5,2,0.013359999999999983,2.0,2.8
2095,4705596765,3,3,1,5,2,5,4,5,3,2,0.012519999999999998,1.4,1.8
1472,4705605840,2,5,4,5,4,3,4,1,5,6,-0.002000000000000013,2.8,2.6
429,4705627319,3,1,1,5,6,3,1,3,5,2,0.033699999999999994,3.0,2.4
107,4705699103,3,2,4,5,4,3,3,1,5,4,-0.00574,3.4,2.2
464,4705766538,2,5,4,5,6,3,2,1,4,6,0.0011599999999999944,2.4,3.2
1443,4705943122,4,5,4,5,6,4,3,1,5,2,-0.016520000000000014,1.4,1.8
28,4706036523,6,1,1,5,2,3,2,4,5,6,0.024119999999999985,1.8,2.6
993,4706067950,3,1,3,5,2,3,5,4,5,3,0.002499999999999991,2.6,1.2
1047,4706071495,3,1,1,5,6,5,4,4,5,6,-0.01150000000000001,2.8,4.2
1024,4706219634,3,3,1,5,6,3,3,4,5,2,-0.0016000000000000124,2.6,2.4
2118,4706257466,3,3,4,5,2,3,6,1,5,3,0.016459999999999985,2.4,2.6
27,4706353825,3,2,1,5,6,3,1,1,5,6,0.005100000000000005,2.6,2.6
480,4706368445,4,3,4,5,2,3,5,4,5,3,0.011519999999999997,3.2,2.4
481,4706381950,3,2,3,5,2,6,3,3,5,4,0.011740000000000028,2.8,1.8
1276,4706427949,3,2,4,5,6,3,2,1,5,6,-0.006280000000000008,2.6,3.0
1078,4706449859,3,3,1,4,6,5,5,1,5,6,0.01579999999999999,1.8,2.0
1794,4706509959,6,1,1,5,2,3,1,4,4,3,-0.007559999999999978,1.8,2.2
1023,4706526835,3,2,2,5,3,4,5,1,5,2,0.003539999999999999,3.0,1.8
1022,4706587447,1,1,3,5,2,3,3,1,5,6,0.006800000000000006,1.6,2.6
604,4706613748,3,3,1,1,6,3,4,1,5,2,-0.00795999999999999,2.2,2.6
520,4706773744,5,4,1,5,6,3,4,6,5,3,0.0031600000000000183,3.0,2.2
57,4707100641,3,1,4,5,6,3,1,4,5,4,0.008420000000000006,2.8,2.6
804,4707227870,2,1,1,5,4,3,3,4,5,6,0.0015600000000000169,2.0,3.0
145,4707253044,2,3,1,5,6,3,4,3,5,6,-0.005779999999999996,2.8,2.6
1788,4707261943,2,1,3,5,3,2,5,1,5,2,-0.013040000000000006,3.0,2.4
300,4707558699,3,3,1,5,2,5,5,4,5,2,-0.014460000000000028,1.6,1.8
531,4707749337,3,5,4,5,6,3,3,5,5,6,0.009219999999999996,2.0,3.6
412,4707783605,3,4,6,5,3,5,3,2,5,3,0.015100000000000013,2.0,2.0
1442,4707803369,4,5,4,5,2,3,2,1,5,6,-0.005840000000000001,1.8,2.4
1930,4707892333,3,5,4,5,6,3,3,4,5,3,-0.009799999999999986,2.2,2.0
1173,4707892856,5,1,4,5,6,3,1,1,5,4,0.017979999999999975,2.0,2.6
687,4708021411,1,4,1,5,6,3,1,4,5,6,0.00985999999999998,2.6,2.4
411,4708027725,3,4,1,5,6,3,3,6,5,6,-0.03509999999999998,3.2,1.8
992,4708132925,3,1,4,5,2,3,1,2,5,4,-0.0064999999999999945,2.4,2.6
1473,4708142620,3,3,1,5,2,2,1,1,5,6,-0.00890000000000003,1.8,2.8
991,4708181783,3,4,1,5,4,3,5,2,5,6,-0.02033999999999999,3.0,2.4
399,4708790001,3,3,4,5,2,3,3,4,5,6,0.0256,2.2,2.6
1606,4708804397,3,4,1,5,6,4,4,4,5,3,0.004680000000000006,2.4,3.0
1677,4708855544,3,3,4,5,2,1,4,3,5,6,-9.999999999997789e-05,2.6,2.4
990,4709041894,3,1,3,4,3,6,3,1,5,,0.0985,2.8,1.0
1379,4709052765,1,3,3,5,3,3,3,4,5,2,0.0011599999999999723,3.2,2.6
1471,4709053601,3,4,1,3,2,3,3,3,5,2,0.0030200000000000005,1.8,2.8
479,4709067015,2,2,3,5,6,3,1,4,5,6,0.014120000000000011,3.0,3.2
40,4709133981,3,3,4,5,2,3,1,5,5,6,-0.00364000000000001,2.2,2.6
831,4709176785,3,3,4,5,2,4,5,2,5,6,-0.01644000000000002,2.4,2.0
26,4709217729,4,4,5,5,3,2,4,1,5,4,0.003719999999999979,1.6,2.2
1378,4709276184,3,5,1,5,5,6,3,2,5,6,0.007580000000000009,2.0,2.8
285,4709295008,3,1,3,5,2,3,1,4,5,6,-0.008440000000000026,3.4,2.2
1163,4709348307,4,2,1,5,4,4,5,4,3,6,-0.02131999999999997,3.2,2.6
2050,4709359355,3,4,3,5,6,4,1,1,5,6,-0.00048000000000001373,3.0,1.6
1284,4709415526,3,1,4,5,6,3,3,4,3,2,-0.0026000000000000025,2.8,2.6
1377,4709424321,3,4,4,5,6,2,1,4,5,6,0.016159999999999963,2.6,2.8
2094,4709639431,3,1,3,5,4,1,3,1,5,6,0.000639999999999985,3.2,2.8
942,4709694245,3,5,4,5,2,2,4,1,1,4,0.006359999999999977,1.8,2.2
498,4709726677,4,3,1,3,6,4,3,1,5,3,0.021139999999999992,2.6,2.4
941,4709747995,2,3,3,5,6,4,3,3,5,6,0.025039999999999996,1.4,3.2
1929,4709808968,3,5,1,5,2,3,1,2,1,6,-0.0066600000000000435,2.2,1.8
940,4709906635,3,2,1,5,5,2,5,5,4,2,-0.0043599999999999976,2.4,1.2
554,4709945072,3,2,3,5,6,4,3,4,5,6,0.020100000000000017,2.6,2.4
2072,4710130114,3,5,4,5,6,3,1,4,5,2,-0.009600000000000008,2.2,2.2
587,4710504053,5,5,2,5,3,3,6,1,5,2,0.012200000000000011,2.4,2.8
1995,4710513372,3,4,4,5,6,2,1,1,5,5,0.03281999999999996,2.6,3.2
1905,4710562985,2,1,6,5,2,3,1,5,5,6,0.01529999999999998,2.2,2.4
663,4710586066,2,3,3,3,2,3,5,4,5,4,0.018159999999999975,3.2,3.4
1928,4710775565,2,3,3,5,4,3,4,4,5,6,-0.005660000000000031,1.8,3.8
686,4710799489,4,3,4,5,6,3,1,3,5,4,-0.0032199999999999894,2.0,2.6
2071,4710875905,3,3,4,5,6,3,3,4,5,6,-0.01644000000000002,2.6,3.4
315,4710944344,3,1,1,5,6,2,3,4,5,6,-0.023880000000000023,3.0,2.2
685,4710952420,3,4,3,5,4,2,4,3,5,2,-0.013319999999999999,2.0,2.0
294,4711171675,3,5,4,5,6,5,2,1,5,2,-0.014579999999999992,2.8,2.2
1858,4711230472,3,5,4,5,4,3,3,3,5,2,0.017920000000000012,2.2,3.4
1283,4711265866,2,3,4,5,3,3,3,2,5,4,-0.013180000000000035,2.8,2.4
2008,4711322374,2,5,4,5,6,3,3,1,5,6,0.01747999999999996,2.2,1.8
2014,4711376780,3,4,5,5,4,3,4,3,5,2,-0.016839999999999987,3.2,2.4
262,4711430904,3,5,4,5,4,4,3,1,5,2,0.014059999999999984,1.4,3.0
966,4711453855,,3,4,3,2,5,3,4,5,2,-0.08292000000000002,1.8,1.8
1282,4711462520,3,1,1,5,2,3,3,1,5,6,-0.006720000000000004,3.0,2.2
1376,4711516911,3,5,3,5,6,6,3,2,5,2,-0.01596000000000002,1.8,2.0
830,4711550283,2,4,3,5,3,1,3,4,5,6,0.023599999999999965,1.4,3.2
603,4711747182,5,4,1,5,2,2,2,3,5,3,0.009419999999999994,1.8,1.8
463,4712306283,3,1,3,5,6,3,3,3,5,3,-0.019520000000000017,4.4,2.0
159,4712324847,3,1,4,5,2,3,3,1,5,3,0.0008199999999999763,2.8,2.2
553,4712497730,3,3,3,5,6,3,5,6,5,6,-0.0030799999999999938,3.0,1.6
434,4712514123,3,3,4,5,1,3,1,1,5,6,-0.007420000000000026,2.4,3.0
433,4712519105,3,5,1,5,6,3,3,1,5,1,0.021699999999999976,2.2,1.6
2123,4712642689,3,3,2,5,6,3,5,4,5,6,0.004699999999999993,2.4,1.6
268,4712834819,3,3,1,5,3,3,1,2,5,2,0.006459999999999966,1.4,2.2
1011,4712909902,2,3,4,5,2,3,1,1,5,6,0.0014399999999999634,2.4,2.6
1834,4712946951,3,3,4,5,6,3,3,4,5,2,-0.013179999999999992,2.2,0.8
1590,4712991074,3,5,4,5,2,2,1,3,5,3,0.012759999999999983,2.2,2.6
1308,4713041432,3,3,1,5,3,3,3,4,5,5,0.0027800000000000047,1.8,1.8
103,4713043899,2,5,1,5,6,4,1,4,5,2,-0.003980000000000006,1.6,2.0
552,4713089987,2,3,4,5,3,3,3,1,5,2,0.0022600000000000176,2.2,2.4
314,4713153718,3,5,1,5,3,2,3,4,5,2,-0.0017200000000000214,2.0,1.8
1160,4713235527,,3,1,5,4,3,4,5,5,6,-0.12208,3.0,2.8
41,4713314190,3,4,4,5,2,5,1,4,5,6,0.0074199999999999934,3.0,2.8
1470,4713316062,6,3,4,5,5,2,1,4,5,6,-0.02469999999999998,1.8,2.8
232,4713435356,2,4,3,5,2,2,4,3,5,6,-0.01596000000000001,2.2,2.2
1476,4713456392,3,3,1,5,2,3,1,4,5,6,0.011719999999999986,1.8,3.2
231,4713491190,1,2,5,5,6,1,4,3,5,6,0.006319999999999992,2.2,1.4
1258,4713502143,3,4,2,5,6,3,4,4,5,2,0.03333999999999996,2.4,2.4
1897,4713525566,2,3,3,5,4,3,4,4,5,2,0.02507999999999999,1.8,2.4
1110,4714045168,5,3,4,2,,3,3,1,5,6,-0.09805999999999998,1.0,2.0
256,4714154188,3,5,4,5,2,5,1,3,5,2,-0.008340000000000004,2.2,2.0
